"Risposta numero","(AG) Definizione del concetto ASTRATTO e GENERICO","(AS) Definizione del concetto ASTRATTO e SPECIFICO","(CG) Definizione del concetto CONCRETO e GENERICO","(CS) Definizione del concetto CONCRETO e SPECIFICO","(CM) Definizione del concetto misterioso (complesso)"
1,"art composed of melodious sounds produced by various instruments, it can have different genres and also contain a vocal part","Philosophical thought aimed at explaining ideal human behavior, attempting to demonstrate what is right and what is wrong. It often depends on the historical period and sociocultural context.","a plant with roots, trunk, branches and foliage used to obtain timber and produce paper","kitchen tool used to infuse tea leaves in boiling water, usually made of ceramic","A feeling of discomfort generated by embarrassing statements or behaviors. The term was coined on the Internet by the millennial community"
2,"&quot;An abstract concept is something non-physical and generic.&quot;            Justice, Ontology, good weather, happiness,      e.g., justice involves the application of laws.            Intalogy is a behavior.      Happiness is a sensation or an illusion, a way of thinking, of seeing things from different perspectives.","The ABSTRACT and SPECIFIC concept is something non-physical and generic.            Politeness, good manners, nastiness, behavior, ethics, music.      Politeness can refer to behaviors, rules, etc.","The CONCRETE and GENERIC concepts indicate something physical but generic.            The tree, the car, the table, the sheep,      are concrete but generic things.            l&#039;albero e&#039; un qualcosa di fisico , ci fa pensare alle foglie ai frutti      il tavolo e&#039; anche qualcosa di fisico ci fa pensare al pranzo , la cena      la pecora e&#039; anche qualcosa di fisico che ci fa pensare alla lana","The concept of CONCRETE and SPECIFIC indicates something physical but generic.      Football, swimming, karate...            Football is something you do physically, so we associate it with players, stadiums, and television.","The mysterious (complex) concept indicates something physical but generic      fear, phobias,"
3,"A set of sounds made simultaneously by people and/or musical instruments.","Branch of philosophy that focuses on defining correct and incorrect human behavior.","Plant, with different types and generic size, having leaves, branches, roots.","Metal container usually used for heating general liquids.","Idea: Abstract mental content and result of mental thinking activity."
4,"The group of every possibile musical notes combination, existing and not.      Those combination can be both perceived with auditory system and visual system.","Common sentiment according with every human being should act to improve his and others quality of life","High and solid Kind of plant composed by a trunk covered in bark and a foliage Made by leaf.      It has roots that keep it anchored to the ground","Small container for liquids used to pour hot beverages in mugs and cups.      It is usually used to let decant and infuse leaves of tea.","Interactive product of the human intellect and creativity.      Storydriven way of entertainment in wich you take the control of the story with the use of an external device like a gamepad or a joystick."
5,"Sound created by one or more musical instruments","philosophy or science that concern behaviors that are considered morally correct","Living being that lives in the ground and is characterized by a trunk, branches, leaves and sometimes flowers or fruits","Tool used to make tea","Feeling of discomfort during which one would like to be different from how one is"
6,"music:  a mixture of sounds, that can be made of  instrumental and lyrics.            An instrumental sound can be composed by standard  instruments such as guitars, drums, keyboards, piano or even by orchestral ones such as violoncello or violin; it  may or may not include some lyrics, that can be sung by a single person or multiple people or can even be represented as a speech.","Etics: philosophy’s branch that studies every behaviour. In particular, it distinguishes itself from politics and law, because it concentrates on action’s sphere and whether they’re good or bad and not already of the legally permitted or prohibited ones or of the more politically appropriate ones.","tree: plant made by a tunk, branches and leaves","teapot : recipient which has a pot-bellied shape with a handle beak and lid and contains tea on the inside",
7,"A living organism that is rooted in the ground through roots, usually formed by a log, branches and leaves. These organisms gain their nutriment through photosynthesis.      Some of these organism can give fruits.","A container that can be used to store liquid tea and is usually used to pour tea into teacups.","An organizations of sounds that can be made through specific instruments and/or human voices.","The philosophy that studies what are the right behaviours within human society",
8,"sequence of sounds with the aim of triggering emotions in the human being","branch of philosophy that aims to ask whether certain behaviors are right or wrong","woody plant with branches and leaves","container, often made of ceramic, which is intended to contain tea during serving and infusion","engineering system that has the purpose of capturing, purifying, transporting and distributing water"
9,"Sequence of sounds capable of arousing emotions in the listener","Moral principles learned by the society to which one belongs that define right and wrong","Type of plant composed of roots, trunk, branches and leaves.","Container, normally made of ceramic, used to heat water and prepare tea. Also used for table setting.","Typical Japanese dish consisting mainly of rice and raw fish. Ability to add various toppings"
10,"Set of sounds and harmonies that are heard","Set of conventionally shared unwritten rules","Organic component born from a seed, composed of roots, trunk, leaves and branches","Container useful for holding and pouring tee","Object used to improve vision through the use of graduated lenses"
11,"Danger is a condition in which there is a possibility of harm, damage, or loss.","A heuristic is a mental strategy that helps people make decisions or solve problems quickly without considering every possible option in detail.","A tool is an object used to perform practical tasks more easily, especially when building, repairing, cutting, or measuring something.","A microscope is a instrument used to observe objects that are too smalll to be seen clearly wicth the naked eye.","It is an instrument used to identify direction and help a person move correctly in unfamiliar places. It is especially useful during navigation, travel, and outdoor activit"
12,"Musica: suoni e rumori prodotti tramite strumenti seguendo un ritmo per generare una composizione.","Etica: insieme di regole morali che una persona segue","Albero: pianta composta da tronco e rami, di altezza variabile, spesso produttrice di frutta.","Teiera: strumento utilizzato per lasciare in infusone erbe e spezie per produrre il the","Sostanza nera prodotta da scarti biologici, infiammabile, estraibile dal sottosuolo. Sostentatrice dell&#039;umanità a livello energetico."
13,"A sound made using instruments thats usually considered beautiful and relaxing","This field of philosophy is a large research topic, this field deals with many world problems theoretically and trys to solve, centuries long, problems on what can be considered right or wrong.","A usually thick and tall (depending on the region) woody type of plant, this plant is mostly covered in bark and fetures a bit ammount of roots and branches and leaves on the bottom and the top respectively. The age of a tree us the number of circles in the log","This type of kitchen tool is used to store, usually, really hot water with different kinds of dried leaves waiting to be poured in a countainer, it has an handle and a hole that help to pour the water","This job is considered really important to the prograssioon of the world and helps the make sociate progress"
14,"Plant with a woody trunk and leaves","Container, usually made of ceramic or glass, used for serving tea or other infusions.","A set of rhythmic sounds often produced by percussion or string instruments, or created through their digital manipulation, often accompanied by one or more singers.","Human morality that varies according to specific contexts.","A series of smartphones designed and developed by Google at both the software and hardware levels."
15,"Composition of sounds that form a melody","Set of values and behaviours that regulates human behaviour","Organism covered in bark, leaves that cover the branches and at the base it has roots situated under the dirt","Object used for serving thè","A strong negative feeling/emotion towards another person that wronged you"
16,"combination of sounds audible to humans","combination of written and non-written rules on which human interaction is based","plant with roots, branches, trunk and leaves","tool used to prepare and hold tea, it is also used as home furnishings.","virtual or physical content that has the purpose of promoting goods, ideals or services"
17,"Set of sounds produced and arranged in a certain way to form a melody","Discipline that studies rules of behavior that respect morality and common sense","Complex terrestrial plant characterized by a woody trunk and apical branches on which leaves grow","Ceramic or metal container used to hold or heat water for making tea","A piece of furniture featuring a comfortable, padded seat used for relax. It usually has two or more seats"
18,"Pleasant concept where sounds go in harmony, brings together notes, time and metrics","The morals of people who define right behavior","Plant composed of leaves, branches and bark, in which the sap flows inside it","Container for liquids, usually tea, used to pour it into cups","pathological addiction, there are dedicated places generally prohibited to minors under 18 years of age."
19,"Sequence of sounds, eventually tuned, reproduced for artistic or entertainment purpose","Set of moral values adopted by the social context we live in","Plant serveral years old, composed by a wooden log that usually splits into several branches. Depending on the season it might display flowers or leaves depending on the season","Small jug provided with lid, usually made of clay or metal, used to infuse the leaves before pouring the liquid into the cups.","Small iron bar equipped with a hand grip and a flat or cross shaped tip used to tighten the screws"
20,"Woody plant covered with cortex. Has  branches, roots and leaves, it does the photosynthesis.","Container of various sizes to store liquids, generally used to make tea and other infusions.","Set of sounds having a rhythm, used to dance or just listen.      Generally done using instruments.","Concept regarding base codes of conduct that humans should follow in relation to the world that surround them.","Tool used to unstuck tubes or pipes using a suction cup."
21,"It&#039;s a sound produced by musical instruments, often accompanied by the voice.","It is a philosophical subject that studies human behavior in certain contexts to understand what is right and what is wrong.","It is a plant that extends in height, with a woody trunk at the base, at the top it estende with branches which in turn are composed of leaves.","It&#039;s a container for making tea or herbal teas, slightly rounded in shape, with a handle, a lid, and an elongated spout.","accessory for holding and gathering hair, often made of plastic with a spring in the center"
22,"Understood as a living thing that sustains life by producing oxygen. It consists of a large vertical trunk rising from the ground, with roots at the base and a dense canopy of branches and leaves at the top.","A container of various shapes and materials, but featuring a spout, a handle and a lid. It is used to brew tea leaves or other ingredients.","Art that has no visual or tactile representation but seeks to express concepts through harmonies, allowing the listener to form their own mental or emotional associations.","A branch of philosophy that seeks to study human morality and the methods or criteria of judgement.","A key hormone that triggers a fight-or-flight response, preparing the body to react swiftly to the situation."
23,"A tree is a woody plant capable of growing in height and is made up of branches and leaves.","A teapot is a container used mainly for infusions or herbal teas.","A musical content is composed of a soundtrack and/or lyrics.","Ethics includes moral principles that must be respected when making choices.","Point of interaction with a more or less complex hardware system."
24,"a succession of sounds, called musical notes, which, when heard in sequence, cause pleasure to the human ear. It is often divided into genres like rap, trap, reagetton, techno...","branch of philosophy that studies human behavior, and in particular analyzes what is right or wrong, and what collective behaviors lead to good or evil.","a type of plant that generally have radix and branches with leaves.","a type of container with a lid, which is usually needed to serve tea or herbal tea.","A car that generally has higher performance than classic road cars, in addition to being much more expensive. It is capable of reaching higher speeds than normal, and is often used as a starting point for professional racing competitions."
25,"An arrangement of artificial sounds that conveys feelings","A philosophy that humans pursue to behave in the most correct way based on the situation","A type of plant that grows high and is made of hard wood and can present leaves and flowers.","A container used to boil water in order to make and pour tea.","A machine used in agricolture that reaps and threshes cereals in a field"
26,"Sounds that can be made by people or objects and are considered pleasant","Branch of philosophy that studies human behavior by trying to define what is right and what is wrong.","Plant of generic dimensions, composed of branches, roots and leaves","Container usually used for containing and serving tea","The seasonal movement of livestock, typically moving them between lowlands and highlands during summer and winter"
27,"Insieme di suoni","Comportamento morale volto al perseguimento di azioni considerate &quot;giuste&quot; in determinati contesti","(Definizione classica) Struttura legnosa di altezza variabile, con tronco più o meno robusto e con foglie agli estremi dei rami      (Definizione informatica) struttura dati dove ogni nodo presenta zero, uno o due figli. Se non ci sono figli allora il nodo è chiamato foglia altrimenti sarà parte di un ramo","Oggetto solitamente in ceramica utilizzata per contenere liquidi caldi","Struttura solitamente in ferro per delimitare aree non oltrepassabili o mantenere ordine"
28,"Harmonious composition of sound waves produced byanalog or digital instruments","Abstract concept that divides human behaviours into good and bad","Natural element that produces fruits or flower depending on the species, according ti the season","object for holding drinks, such as hot tea, useful for serving it more comfortably","Mental contenta, a representation or concept Born from thought, imagination or experience"
